City,Name,Year,Price,Kilometers Driven,KM,State,Transmission,Fuel Type,EMI per Month
delhi-ncr,Hyundai i10,2013,204000,75K km,75000,DL,manual,petrol,5498
delhi-ncr,Hyundai Verna,2013,390000,71.5K km,71500,DL,manual,petrol,10512
delhi-ncr,Maruti Swift,2014,338000,73.5K km,73500,DL,manual,petrol,7254
delhi-ncr,Honda City,2016,597000,114K km,114000,DL,automatic,petrol,10166
delhi-ncr,Renault Kwid,2019,349000,62.5K km,62500,DL,automatic,petrol,5943
delhi-ncr,Hyundai Elite i20,2017,490000,111K km,111000,UP,manual,petrol,8344
delhi-ncr,Renault Duster,2019,578000,61K km,61000,DL,manual,diesel,9843
delhi-ncr,Renault Triber,2020,479000,28.5K km,28500,DL,manual,petrol,8157
delhi-ncr,Ford EcoSport,2016,488000,57K km,57000,DL,manual,petrol,8310
delhi-ncr,Renault Triber,2023,687000,7K km,7000,HR,manual,petrol,11699
delhi-ncr,Maruti Baleno,2015,495000,23.5K km,23500,HR,manual,petrol,9010
delhi-ncr,Mahindra Thar,2020,1102000,52.5K km,52500,UP,manual,diesel,18952
delhi-ncr,Tata Altroz,2021,639000,43K km,43000,UP,manual,petrol,10881
delhi-ncr,Hyundai Creta,2022,1149000,75K km,75000,HR,manual,petrol,19760
delhi-ncr,Hyundai New Santro 1.1,2019,435000,33K km,33000,HR,manual,petrol,6944
delhi-ncr,Maruti Ertiga,2014,526000,71.5K km,71500,HR,manual,petrol,11289
delhi-ncr,Maruti Ciaz,2017,714000,29K km,29000,HR,automatic,petrol,12159
delhi-ncr,Maruti Ciaz,2016,579000,48K km,48000,UP,manual,petrol,9860
delhi-ncr,Toyota Glanza,2021,612000,21K km,21000,DL,manual,petrol,10422
delhi-ncr,Renault Kwid,2020,356000,61.5K km,61500,DL,manual,petrol,6062
delhi-ncr,Hyundai i10,2011,201000,56.5K km,56500,DL,manual,petrol,14362
delhi-ncr,Ford Figo,2012,201000,84K km,84000,DL,manual,petrol,
delhi-ncr,Honda Amaze,2022,688000,27K km,27000,UP,automatic,petrol,11716
delhi-ncr,Maruti Celerio,2019,380000,111K km,111000,HR,manual,petrol,6471
delhi-ncr,Honda City,2015,450000,75.5K km,75500,DL,manual,petrol,8191
delhi-ncr,Maruti Baleno,2016,404000,73.5K km,73500,DL,manual,petrol,6879
delhi-ncr,Volkswagen Polo,2013,336000,39K km,39000,DL,manual,petrol,8490
delhi-ncr,Tata Tigor,2022,646000,41.5K km,41500,DL,manual,petrol+cng,11001
delhi-ncr,Tata Nexon,2021,917000,31.5K km,31500,DL,automatic,petrol,15615
delhi-ncr,Hyundai Elite i20,2015,418000,53.5K km,53500,DL,manual,petrol,7608
delhi-ncr,Tata Tiago,2021,561000,35K km,35000,DL,automatic,petrol,9553
delhi-ncr,Tata Nexon,2022,789000,56K km,56000,DL,automatic,petrol,13436
delhi-ncr,Tata Tiago,2019,541000,25.5K km,25500,UP,automatic,petrol,9212
delhi-ncr,Maruti S-Presso,2020,374000,40.5K km,40500,DL,manual,petrol,6369
delhi-ncr,Hyundai Venue,2022,897000,36.5K km,36500,HR,manual,petrol,15275
delhi-ncr,Tata Altroz,2023,726000,12.5K km,12500,UP,automatic,petrol,12363
delhi-ncr,Renault Kiger,2022,895000,7.5K km,7500,DL,automatic,petrol,15241
delhi-ncr,Kia Sonet,2021,1129000,34.5K km,34500,HR,automatic,diesel,19416
delhi-ncr,Maruti Wagon R 1.0,2014,229000,61.5K km,61500,UP,manual,petrol,5098
delhi-ncr,Renault Kwid,2022,358000,17.5K km,17500,DL,manual,petrol,6096
delhi-ncr,Maruti Celerio,2017,303000,107K km,107000,DL,manual,petrol,5159
delhi-ncr,Volkswagen Polo,2016,430000,54K km,54000,DL,manual,petrol+cng,7322
delhi-ncr,Honda Amaze,2014,321000,53.5K km,53500,DL,manual,petrol,6889
delhi-ncr,Tata Tiago,2017,340000,122.5K km,122500,DL,manual,petrol,5790
delhi-ncr,Hyundai Elite i20,2015,456000,72.5K km,72500,DL,manual,petrol,8300
delhi-ncr,Renault Duster,2016,449000,84.5K km,84500,HR,manual,petrol,7646
delhi-ncr,Hyundai Elite i20,2016,483000,83.5K km,83500,DL,manual,petrol,8225
delhi-ncr,Tata Altroz,2022,668000,29K km,29000,DL,manual,petrol+cng,11375
delhi-ncr,Kia Sonet,2021,846000,55.5K km,55500,DL,manual,petrol,14406
delhi-ncr,Tata Nexon,2022,925000,46K km,46000,DL,manual,petrol,15752
delhi-ncr,Honda City,2019,696000,52.5K km,52500,UP,manual,petrol,11852
delhi-ncr,Kia Sonet,2021,1039000,6.5K km,6500,HR,manual,petrol,17868
delhi-ncr,Tata Nexon,2020,768000,43K km,43000,HR,manual,petrol,13078
delhi-ncr,Nissan Magnite,2021,795000,31K km,31000,DL,automatic,petrol,13538
delhi-ncr,Maruti Alto 800,2021,349000,13.5K km,13500,DL,manual,petrol,6237
